brand;name;product_type;shade;price;old_price;url;image_url;r;g;b;hex
Lic;Soft Velvet;Тональный крем для лица;;1511;2256;https://goldapple.ru/19000063388-soft-velvet;https://pcdn.goldapple.ru/p/p/19000063387/web/746f6e658ddc4d5f7a531b5.jpg;237;213;189;#edd5bd
Lic;Soft Velvet;Тональный крем для лица;;1511;2256;https://goldapple.ru/19000063388-soft-velvet;https://pcdn.goldapple.ru/p/p/19000063389/web/746f6e658ddc4d5f739c137.jpg;233;199;171;#e9c7ab
SHIKstudio;Skin Impression foundation;Тональный крем для лица SPF 50;;1791;2212;https://goldapple.ru/19000305868-skin-impression-foundation;https://pcdn.goldapple.ru/p/p/19000305868/web/746f6e658ddc58cf80241a8.jpg;224;186;147;#e0ba93
SHIKstudio;Skin Impression foundation;Тональный крем для лица SPF 50;;1791;2212;https://goldapple.ru/19000305868-skin-impression-foundation;https://pcdn.goldapple.ru/p/p/19000305866/web/746f6e658ddc58cfb295b88.jpg;224;193;164;#e0c1a4
SHIKstudio;Skin Impression foundation;Тональный крем для лица SPF 50;;1791;2212;https://goldapple.ru/19000305868-skin-impression-foundation;https://pcdn.goldapple.ru/p/p/19000305867/web/746f6e658ddc58cfb0f6390.jpg;225;192;157;#e1c09d
Sothys;Hydrating Tinted Care;Увлажняющий тональный крем для лица;;6006;8580;https://goldapple.ru/19000283035-hydrating-tinted-care;https://pcdn.goldapple.ru/p/p/19000283035/web/746f6e658ddc57e6c02d957.jpg;225;148;70;#e19446
Sothys;Hydrating Tinted Care;Увлажняющий тональный крем для лица;;6006;8580;https://goldapple.ru/19000283035-hydrating-tinted-care;https://pcdn.goldapple.ru/p/p/19000283033/web/746f6e658ddc57e6c92d30f.jpg;223;178;139;#dfb28b
Sothys;Hydrating Tinted Care;Увлажняющий тональный крем для лица;;6006;8580;https://goldapple.ru/19000283035-hydrating-tinted-care;https://pcdn.goldapple.ru/p/p/19000283034/web/746f6e658ddc57e6bd44590.jpg;234;172;133;#eaac85
Yadah;BE MY CUSHION;Тональное средство-кушон SPF50+/PA+++;;1479;1741;https://goldapple.ru/99801300002-be-my-cushion;https://pcdn.goldapple.ru/p/p/99801300002/web/746f6e658ddc40637efba10.jpg;255;233;212;#ffe9d4
Yadah;BE MY CUSHION;Тональное средство-кушон SPF50+/PA+++;;1479;1741;https://goldapple.ru/99801300002-be-my-cushion;https://pcdn.goldapple.ru/p/p/99801300003/web/746f6e658ddc40637e4f52c.jpg;225;189;155;#e1bd9b
LUXVISAGE;Skin evolution soft matte blur effect;Тональный крем для лица;;290;454;https://goldapple.ru/19000344228-skin-evolution-soft-matte-blur-effect;https://pcdn.goldapple.ru/p/p/19000344228/web/746f6e658ddc5a96e734a13.jpg;237;205;167;#edcda7
LUXVISAGE;Skin evolution soft matte blur effect;Тональный крем для лица;;290;454;https://goldapple.ru/19000344228-skin-evolution-soft-matte-blur-effect;https://pcdn.goldapple.ru/p/p/19000025966/web/746f6e658ddc49dd78b26ad.jpg;230;200;172;#e6c8ac
LUXVISAGE;Skin evolution soft matte blur effect;Тональный крем для лица;;290;454;https://goldapple.ru/19000344228-skin-evolution-soft-matte-blur-effect;https://pcdn.goldapple.ru/p/p/19000025967/web/746f6e658ddc49dcb953bc8.jpg;227;200;171;#e3c8ab
Missha;Perfect Cover;Тональный BB крем для лица SPF 42 PA+++;;799;2070;https://goldapple.ru/9482000001-perfect-coverage-bb-cream;https://pcdn.goldapple.ru/p/p/9482000001/web/746f6e658ddc3ae17630605.jpg;242;221;200;#f2ddc8
Missha;Perfect Cover;Тональный BB крем для лица SPF 42 PA+++;;799;2070;https://goldapple.ru/9482000001-perfect-coverage-bb-cream;https://pcdn.goldapple.ru/p/p/19000015851/web/746f6e658ddc3ae75bcb39a.jpg;221;202;188;#ddcabc
Missha;Perfect Cover;Тональный BB крем для лица SPF 42 PA+++;;799;2070;https://goldapple.ru/9482000001-perfect-coverage-bb-cream;https://pcdn.goldapple.ru/p/p/19000149602/web/746f6e658ddc531fe44df9f.jpg;227;178;135;#e3b287
WAKEMAKE;Water glow coating balm;Компактная тональная основа для лица;;3239;6351;https://goldapple.ru/19000410907-water-glow-coating-balm;https://pcdn.goldapple.ru/p/p/19000410907/web/746f6e655f38646335333831616432346334663436623638663961383366663034393236398ddc91f34e9d8a5.jpg;244;198;162;#f4c6a2
